Iteration, Generator, Distribution, Source, Time per output, Relative time
1, ALDR, d6, mt19937, 8.64317e-09s, 1.11841
1, Huber-Vargas, d6, mt19937, 5.654e-09s, 0.731614
1, Lemire, d6, mt19937, 2.72416e-09s, 0.3525
1, ES32, Bernoulli, mt19937, 4.3038e-09s, 1.01583
1, ES32 optimized, Bernoulli, mt19937, 2.22247e-09s, 0.524572
1, FLDR, Bernoulli, mt19937, 1.65357e-08s, 3.90294
1, ALDR, Bernoulli, mt19937, 5.91401e-09s, 1.39589
1, Lemire+alias, Bernoulli, mt19937, 2.68856e-09s, 0.634584
1, ES32, Weighted, mt19937, 1.1593e-08s, 0.938319
1, FLDR, Weighted, mt19937, 2.02439e-08s, 1.63851
1, ALDR, Weighted, mt19937, 8.04344e-09s, 0.651023
1, Lemire+alias, Weighted, mt19937, 2.63228e-09s, 0.213053
1, ES32, d6, xoshiro128, 7.31504e-09s, 0.990136
1, ES32 optimized, cd6, xoshiro128, 3.32257e-09s, 0.44973
1, ES64, d6, xoshiro128, 9.44212e-09s, 1.27805
1, ES64 optimized, d6, xoshiro128, 3.84324e-09s, 0.520206
1, VN, d6, xoshiro128, 5.70659e-09s, 0.772422
1, Fast Dice Roller, d6, xoshiro128, 6.22716e-09s, 0.842884
1, FLDR, d6, xoshiro128, 1.18734e-08s, 1.60713
1, ALDR, d6, xoshiro128, 1.06781e-08s, 1.44535
1, Huber-Vargas, d6, xoshiro128, 7.77347e-09s, 1.05219
1, Lemire, d6, xoshiro128, 2.0115e-09s, 0.272268
1, ES32, Bernoulli, xoshiro128, 4.20627e-09s, 1.01473
1, ES32 optimized, Bernoulli, xoshiro128, 2.28656e-09s, 0.551618
1, FLDR, Bernoulli, xoshiro128, 1.6571e-08s, 3.99763
1, ALDR, Bernoulli, xoshiro128, 1.25583e-08s, 3.02961
1, Lemire+alias, Bernoulli, xoshiro128, 4.43144e-09s, 1.06906
1, ES32, Weighted, xoshiro128, 1.27555e-08s, 1.11145
1, FLDR, Weighted, xoshiro128, 1.43265e-08s, 1.24834
1, ALDR, Weighted, xoshiro128, 1.29075e-08s, 1.12469
1, Lemire+alias, Weighted, xoshiro128, 2.04061e-09s, 0.177807
2, ES32, d6, random_device, 1.45972e-07s, 1.00081
2, ES32 optimized, cd6, random_device, 1.45773e-07s, 0.999442
2, ES64, d6, random_device, 1.45815e-07s, 0.999731
2, ES64 optimized, d6, random_device, 1.45792e-07s, 0.999571
2, VN, d6, random_device, 2.25906e-07s, 1.54884
2, Fast Dice Roller, d6, random_device, 2.06788e-07s, 1.41777
2, FLDR, d6, random_device, 2.068e-07s, 1.41785
2, ALDR, d6, random_device, 2.06963e-07s, 1.41896
2, Huber-Vargas, d6, random_device, 2.06809e-07s, 1.41791
2, Lemire, d6, random_device, 3.60985e-06s, 24.7496
2, ES32, Bernoulli, random_device, 5.1305e-09s, 1.0098
2, ES32 optimized, Bernoulli, random_device, 4.56329e-09s, 0.898159
2, FLDR, Bernoulli, random_device, 1.4312e-07s, 28.1692
2, ALDR, Bernoulli, random_device, 1.13443e-07s, 22.3281
2, Lemire+alias, Bernoulli, random_device, 3.61019e-06s, 710.567
2, ES32, Weighted, random_device, 1.21156e-07s, 0.999161
2, FLDR, Weighted, random_device, 1.65321e-07s, 1.36338
2, ALDR, Weighted, random_device, 1.65414e-07s, 1.36415
2, Lemire+alias, Weighted, random_device, 3.60951e-06s, 29.7672
2, ES32, d6, mt19937, 7.67831e-09s, 1.01615
2, ES32 optimized, cd6, mt19937, 3.91977e-09s, 0.518746
2, ES64, d6, mt19937, 9.70922e-09s, 1.28493
2, ES64 optimized, d6, mt19937, 4.28966e-09s, 0.567698
2, VN, d6, mt19937, 4.51764e-09s, 0.597869
