Iteration, Generator, Distribution, Source, Time per output, Relative time
1, ES32, cd6, random_device, 4.14562e-09s, 0.986623
1, ES32, vd6, random_device, 4.19308e-09s, 0.997918
1, ES64, d6, random_device, 4.59304e-09s, 1.0931
1, ES64, cd6, random_device, 3.92167e-09s, 0.933323
1, ES64, vd6, random_device, 4.60079e-09s, 1.09495
1, Von Neumann, vd6, random_device, 7.46242e-09s, 1.77599
1, Fast Dice Roller, vd6, random_device, 6.50313e-09s, 1.54769
1, FLDR, vd6, random_device, 1.0645e-08s, 2.53342
1, ALDR, wd6, random_device, 1.0663e-08s, 2.53771
1, Huber-Vargas, vd6, random_device, 1.04342e-08s, 2.48325
1, Lemire, vd6, random_device, 4.80398e-08s, 11.4331
1, ES32, Const Bernoulli{1/99}, random_device, 2.96637e-09s, 0.757389
1, ES32, Runtime Bernoulli{1/99}, random_device, 3.94696e-09s, 1.00776
1, ES32, Weighted{1/99}, random_device, 6.37717e-09s, 1.62825
1, FLDR, B{1/99}, random_device, 1.2896e-08s, 3.29268
1, ALDR, B{1/99}, random_device, 1.02798e-08s, 2.62469
1, ES32, Weighted{12345}, random_device, 1.20347e-08s, 1.01107
1, FLDR, W{12345}, random_device, 1.25734e-08s, 1.05633
1, ALDR, W12345, random_device, 1.18932e-08s, 0.999177
1, ES32, d6, cached, 2.31471e-09s, 0.728755
1, ES32, cd6, cached, 2.34062e-09s, 0.736915
1, ES32, vd6, cached, 3.20446e-09s, 1.00888
1, ES64, d6, cached, 2.92433e-09s, 0.920687
1, ES64, cd6, cached, 2.97546e-09s, 0.936783
1, ES64, vd6, cached, 4.17258e-09s, 1.31368
1, Von Neumann, vd6, cached, 4.25e-09s, 1.33806
1, Fast Dice Roller, vd6, cached, 3.70025e-09s, 1.16497
1, FLDR, vd6, cached, 9.6385e-09s, 3.03455
1, ALDR, wd6, cached, 8.00008e-09s, 2.51872
1, Huber-Vargas, vd6, cached, 7.87429e-09s, 2.47912
1, Lemire, vd6, cached, 1.38692e-09s, 0.436652
1, ES32, Const Bernoulli{1/99}, cached, 2.93212e-09s, 0.76774
1, ES32, Runtime Bernoulli{1/99}, cached, 3.83133e-09s, 1.00319
1, ES32, Weighted{1/99}, cached, 6.3465e-09s, 1.66175
1, FLDR, B{1/99}, cached, 1.11187e-08s, 2.91128
1, ALDR, B{1/99}, cached, 9.095e-09s, 2.38141
1, ES32, Weighted{12345}, cached, 1.05013e-08s, 0.977808
1, FLDR, W{12345}, cached, 1.01636e-08s, 0.946367
1, ALDR, W12345, cached, 9.48067e-09s, 0.882774
1, ES32, d6, mt_19937, 3.153e-09s, 1.00061
1, ES32, cd6, mt_19937, 3.69333e-09s, 1.17208
1, ES32, vd6, mt_19937, 3.19088e-09s, 1.01263
1, ES64, d6, mt_19937, 2.93283e-09s, 0.930738
1, ES64, cd6, mt_19937, 8.14267e-09s, 2.58409
1, ES64, vd6, mt_19937, 3.99271e-09s, 1.26709
1, Von Neumann, vd6, mt_19937, 4.77608e-09s, 1.5157
1, Fast Dice Roller, vd6, mt_19937, 4.52142e-09s, 1.43488
1, FLDR, vd6, mt_19937, 9.33654e-09s, 2.96296
1, ALDR, wd6, mt_19937, 8.24429e-09s, 2.61634
1, Huber-Vargas, vd6, mt_19937, 8.39479e-09s, 2.6641
1, Lemire, vd6, mt_19937, 3.57696e-09s, 1.13515
1, ES32, Const Bernoulli{1/99}, mt_19937, 2.97346e-09s, 0.755548
1, ES32, Runtime Bernoulli{1/99}, mt_19937, 3.87688e-09s, 0.985104
1, ES32, Weighted{1/99}, mt_19937, 6.45908e-09s, 1.64124
1, FLDR, B{1/99}, mt_19937, 1.13765e-08s, 2.89074
1, ALDR, B{1/99}, mt_19937, 8.76642e-09s, 2.22752
1, ES32, Weighted{12345}, mt_19937, 1.01088e-08s, 1.00797
1, FLDR, W{12345}, mt_19937, 1.06645e-08s, 1.06339
1, ALDR, W12345, mt_19937, 9.76146e-09s, 0.973339
1, ES32, d6, xoshiro128, 3.28633e-09s, 1.00124
1, ES32, cd6, xoshiro128, 2.44125e-09s, 0.743773
1, ES32, vd6, xoshiro128, 3.31488e-09s, 1.00994
1, ES64, d6, xoshiro128, 3.98475e-09s, 1.21403
1, ES64, cd6, xoshiro128, 2.90496e-09s, 0.885051
1, ES64, vd6, xoshiro128, 3.98054e-09s, 1.21275
1, Von Neumann, vd6, xoshiro128, 5.75883e-09s, 1.75454
1, Fast Dice Roller, vd6, xoshiro128, 5.54004e-09s, 1.68788
1, FLDR, vd6, xoshiro128, 9.885e-09s, 3.01165
1, ALDR, wd6, xoshiro128, 7.66517e-09s, 2.33534
1, Huber-Vargas, vd6, xoshiro128, 7.80542e-09s, 2.37807
1, Lemire, vd6, xoshiro128, 1.42092e-09s, 0.432909
1, ES32, Const Bernoulli{1/99}, xoshiro128, 2.92233e-09s, 0.765618
1, ES32, Runtime Bernoulli{1/99}, xoshiro128, 3.77821e-09s, 0.989848
1, ES32, Weighted{1/99}, xoshiro128, 6.92342e-09s, 1.81386
1, FLDR, B{1/99}, xoshiro128, 1.12208e-08s, 2.93973
1, ALDR, B{1/99}, xoshiro128, 8.4215e-09s, 2.20634
1, ES32, Weighted{12345}, xoshiro128, 1.04233e-08s, 1.00111
1, FLDR, W{12345}, xoshiro128, 9.80771e-09s, 0.941988
1, ALDR, W12345, xoshiro128, 8.91254e-09s, 0.856011
2, ES32, d6, random_device, 4.269e-09s, 0.996373
2, ES32, cd6, random_device, 4.23608e-09s, 0.98869
2, ES32, vd6, random_device, 4.26967e-09s, 0.996528
2, ES64, d6, random_device, 4.52758e-09s, 1.05673
2, ES64, cd6, random_device, 3.94546e-09s, 0.920859
2, ES64, vd6, random_device, 4.53375e-09s, 1.05816
2, Von Neumann, vd6, random_device, 7.62358e-09s, 1.77932
2, Fast Dice Roller, vd6, random_device, 6.53692e-09s, 1.5257
2, FLDR, vd6, random_device, 1.0654e-08s, 2.48661
2, ALDR, wd6, random_device, 1.09392e-08s, 2.55318
2, Huber-Vargas, vd6, random_device, 1.04442e-08s, 2.43764
2, Lemire, vd6, random_device, 4.91116e-08s, 11.4625
2, ES32, Const Bernoulli{1/99}, random_device, 2.97175e-09s, 0.756491
2, ES32, Runtime Bernoulli{1/99}, random_device, 3.86979e-09s, 0.985098
2, ES32, Weighted{1/99}, random_device, 6.48058e-09s, 1.6497
2, FLDR, B{1/99}, random_device, 1.29175e-08s, 3.28829
2, ALDR, B{1/99}, random_device, 9.95546e-09s, 2.53427
2, ES32, Weighted{12345}, random_device, 1.19058e-08s, 1.01227
2, FLDR, W{12345}, random_device, 1.25431e-08s, 1.06646
2, ALDR, W12345, random_device, 1.16642e-08s, 0.991728
2, ES32, d6, cached, 2.31321e-09s, 0.732047
2, ES32, cd6, cached, 2.31275e-09s, 0.731902
2, ES32, vd6, cached, 3.15642e-09s, 0.998892
2, ES64, d6, cached, 2.90062e-09s, 0.917943
2, ES64, cd6, cached, 2.89033e-09s, 0.914687
2, ES64, vd6, cached, 4.00192e-09s, 1.26646
2, Von Neumann, vd6, cached, 4.24288e-09s, 1.34272
2, Fast Dice Roller, vd6, cached, 3.69871e-09s, 1.17051
2, FLDR, vd6, cached, 9.25783e-09s, 2.92977
2, ALDR, wd6, cached, 8.44425e-09s, 2.6723
2, Huber-Vargas, vd6, cached, 7.83812e-09s, 2.48048
2, Lemire, vd6, cached, 1.38817e-09s, 0.439305
2, ES32, Const Bernoulli{1/99}, cached, 2.92046e-09s, 0.764351
2, ES32, Runtime Bernoulli{1/99}, cached, 3.87975e-09s, 1.01542
2, ES32, Weighted{1/99}, cached, 6.39604e-09s, 1.67399
2, FLDR, B{1/99}, cached, 1.10693e-08s, 2.89709
2, ALDR, B{1/99}, cached, 8.54254e-09s, 2.23578
2, ES32, Weighted{12345}, cached, 1.0485e-08s, 1.01024
2, FLDR, W{12345}, cached, 1.03028e-08s, 0.992685
2, ALDR, W12345, cached, 9.86767e-09s, 0.950761
2, ES32, d6, mt_19937, 3.20196e-09s, 1.02048
